#{"t_start": 1716126464.4142652, "env_id": "MountainCarContinuous-v0"}
r,l,t
84.675446,436,1.716034
-7.287141,999,5.264624
-6.068734,999,8.788103
-4.024,999,12.333528
-19.235969,999,15.913551
-6.072375,999,19.465139
-10.017368,999,23.100681
-63.209813,999,26.745473
-23.483527,999,30.266068
-27.429662,999,33.785127
