#{"t_start": 1716126668.478522, "env_id": "MountainCarContinuous-v0"}
r,l,t
-87.138595,999,3.60716
-98.041805,999,7.09766
-99.551293,999,10.648019
-43.560604,999,14.156261
68.61366,651,16.509664
-86.512236,999,20.080586
-99.669661,999,23.628182
-76.912083,999,27.186944
-95.623635,999,30.768418
-59.618175,999,34.411251
