#{"t_start": 1716123285.253432, "env_id": "MountainCarContinuous-v0"}
r,l,t
46.767031,919,5.364558
90.224109,335,6.787541
-10.24634,999,11.238296
-86.575144,999,15.436348
-67.320783,999,19.851031
-23.202609,999,23.745971
-50.248177,999,27.999043
-30.474496,999,32.535558
-66.71342,999,36.824443
89.29718,459,38.763972
69.640935,554,41.091175
88.220101,172,41.893149
83.018701,267,43.054176
93.202297,163,43.688631
91.214606,625,84.249589
91.859489,590,121.796105
92.307068,358,144.416769
91.582899,719,2477.841006
