#{"t_start": 1716123285.249996, "env_id": "MountainCarContinuous-v0"}
r,l,t
-48.074645,999,5.748613
-9.448583,999,10.12891
-85.664948,999,14.398654
-57.310087,999,18.824437
-14.752565,999,22.747424
-75.985355,999,26.956626
88.069039,450,28.826504
-73.042232,999,33.338249
91.035291,257,34.431078
55.520866,765,37.740809
90.24861,498,39.931213
93.926746,209,40.735316
91.430144,230,41.753429
95.924197,184,42.610021
93.073877,232,43.520892
86.415478,445,72.821664
92.564812,399,98.142368
93.20571,285,116.302295
93.94741,322,136.75771
92.341089,438,2460.254866
