#{"t_start": 1716123285.249323, "env_id": "MountainCarContinuous-v0"}
r,l,t
-53.924446,999,5.749255
-45.924846,999,10.129549
-62.569426,999,14.399295
-76.922361,999,18.825077
-43.558639,999,22.748064
-14.71252,999,26.957267
-65.863865,999,31.493312
-27.938075,999,35.741847
54.457086,901,39.60513
92.584835,292,40.79263
91.700079,403,42.621063
91.965376,163,43.259784
89.051895,789,94.655494
93.184265,285,112.807305
92.457273,395,137.88911
91.451448,363,1898.991025
92.174873,471,2462.318803
91.730852,361,2484.931425
