#{"t_start": 1716123285.251858, "env_id": "MountainCarContinuous-v0"}
r,l,t
-24.917577,999,5.746814
-49.364385,999,10.127089
-60.461703,999,14.396835
-28.486485,999,18.822618
-92.032718,999,22.745606
-45.037477,999,26.954806
-27.590315,999,31.490828
-46.291789,999,35.739365
-47.782868,999,40.036354
80.552356,847,43.596327
90.049199,559,80.0716
91.339833,401,105.536029
91.138207,776,154.742117
92.200543,396,1901.053243
93.710344,292,2451.126189
