#{"t_start": 1716123285.247015, "env_id": "MountainCarContinuous-v0"}
r,l,t
-21.096324,999,5.75149
-7.289811,999,10.131782
-20.968222,999,14.401528
-17.16579,999,18.827309
-43.022845,999,22.750297
-21.23567,999,26.959498
-63.651166,999,31.495542
-65.784894,999,35.744083
67.688136,575,38.203419
89.313403,252,39.248479
92.737254,262,40.397856
89.716087,434,42.305181
90.397541,445,72.824558
92.877517,281,90.659215
89.101593,493,122.059695
92.842531,281,139.842173
90.449619,630,2472.273793
92.940963,285,2490.140442
