#{"t_start": 1716123285.251312, "env_id": "MountainCarContinuous-v0"}
r,l,t
89.078499,631,4.046451
-43.29097,999,8.530456
70.226948,910,12.625935
-28.409048,999,16.810507
-33.487372,999,20.965852
-69.17137,999,24.960452
-53.080868,999,29.266534
-82.286985,999,33.710244
-56.350802,999,38.066864
82.127264,523,40.297398
80.095834,444,42.229799
-3.234181,999,108.001536
92.606538,397,133.259545
91.577045,362,156.146648
92.704536,360,1898.800516
92.1499,472,2462.379531
88.31422,537,2496.035089
